34	"1-CHLORO-1,1-DIFLUOROETHANE"	100.496	410.200	4.124	231.000	0.279	0.000	4.017	0.066	-0.00004758000	0.000000012670000	0.000	0.000	0.000
35	1-CHLOROBUTANE	92.569	542.000	3.688	312.000	0.255	0.218	-0.624	0.107	-0.00007014000	0.000000019300000	15.975	2826.260	-49.050
36	1-DECANOL	158.285	700.000	2.229	600.000	0.230	0.000	3.480	0.214	-0.00009365000	0.000000008242000	15.940	3389.430	-139.000
37	1-DECENE	140.270	615.000	2.209	650.000	0.280	0.491	-1.114	0.217	-0.00012080000	0.000000026160000	16.013	3448.180	-76.090
38	1-DODECENE	168.324	657.000	1.854	0.000	0.000	0.558	-1.563	0.262	-0.00014700000	0.000000032030000	16.061	3729.870	-90.880
39	1-EICOSANOL	298.555	770.000	1.216	0.000	0.000	0.000	-3.005	0.466	-0.00026710000	0.000000060090000	15.823	3912.100	-203.100
40	1-HEPTANOL	116.204	633.000	3.040	435.000	0.250	0.560	1.172	0.162	-0.00008232000	0.000000014440000	15.307	2626.420	-146.600
41	1-HEPTENE	98.189	537.200	2.837	440.000	0.280	0.358	-0.789	0.150	-0.00008388000	0.000000018170000	15.889	2895.510	-53.970
42	1-HEXADECENE	224.432	717.000	1.337	0.000	0.000	0.721	-2.318	3.523	-1.00000000000	-1.982000000000000	357.850	-59.230	40.990
43	1-HEXANOL	102.177	610.000	4.053	381.000	0.300	0.560	1.149	0.141	-0.00007189000	0.000000012960000	18.099	4055.450	-76.490
44	1-HEXENE	84.162	504.000	3.171	350.000	0.260	0.285	0.417	0.127	-0.00006933000	0.000000014460000	15.809	2654.810	-47.300
45	1-METHYL-1-ETHYLCYCLOPENTANE	112.216	592.000	2.989	0.000	0.000	0.250	0.000	0.000	0.00000000000	0.000000000000000	15.822	3120.660	-55.060
46	1-METHYL-2-ETHYLBENZENE	120.195	651.000	3.040	460.000	0.260	0.294	-3.928	0.167	-0.00009841000	0.000000022280000	16.125	3535.330	-65.850
